Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;60,096;1,657444637;100,058;19,056;119,074;0,8836966;0,136;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/24;16;63,52;18,1405;0;58,93;1,803597263;100,116;18,192;81,7168;0,5777866;0,118;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/25;9;150,15;17,8905;0;48,618;1,776844697;100,694;18,392;118,286;1,016975;0,121;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/25;12;173,95;18,6415;0;47,004;1,803597263;100,61;19,166;106,4496;1,1831994;0,118;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/25;16;292,95;22,3955;0;44,65;1,822043017;100,456;20,032;114,1408;1,3499878;0,116;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/26;9;179,05;23,646;0;45,23333333;1,776844697;100,54;20,02666667;157,480333;1,707084;0,121;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/26;12;615,3;26,646;0;57,788;1,831457352;100,524;23,584;150,2872;2,0694794;0,115;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/26;16;415,35;27,8955;0;58,492;1,812757265;100,274;23,552;114,6802;1,4173832;0,117;250;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/30;9;250,45;26,896;0;50,866;1,759590179;100,06;20,858;220,7092;2,4932684;0,123;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/30;12;679,4;24,896;0;56,474;1,812757265;100,068;23,284;236,0524;3,0864204;0,117;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/11/30;16;456,25;25,396;0;52,796;1,803597263;99,97;20,742;98,7854;0,9575158;0,118;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/01;9;132,2;19,142;0;53,556;1,794560265;100,374;18,566;153,577;1,2479818;0,119;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/01;12;231,5;20,644;0;59,95;1,822043017;100,402;21,78;265,9778;2,5264314;0,116;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/01;16;434,2;26,646;0;50,944;1,850683553;100,486;21,872;210,1448;2,3393324;0,113;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/02;9;244,55;32,888;0;43,666;1,831457352;100,556;20,29;216,6232;2,6217242;0,115;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/02;12;689,7;28,645;0;46,72;1,87046038;100,41;25,002;131,366;2,2852392;0,111;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/02;16;531,8;26,146;0;48,362;1,850683553;100,1;23,978;104,9766;1,5186326;0,113;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/03;9;249,25;22,145;0;53,266;1,822043017;100,252;20,174;165,209;1,7005372;0,116;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/03;12;704,75;31,641;0;41,526;1,87046038;100,172;29,198;126,5704;3,248703;0,111;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/03;16;526,75;30,143;0;42,364;1,841003192;100,12;26,956;145,8234;2,5384194;0,114;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/04;9;244,9;28,6445;0;47,132;1,841003192;100,368;21,972;204,8844;2,735687;0,114;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/04;12;696,25;31,641;0;41,418;1,890813958;100,406;28,508;200,5502;4,321885;0,109;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/04;16;533;33,139;0;41,062;1,87046038;100,156;27,896;162,7526;3,5833788;0,111;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/08;9;65,65;19,893;0;58,226;1,803597263;100,068;18,942;183,2702;1,3213556;0,118;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/08;12;141,85;23,396;0;56,108;1,822043017;100,03;23,638;349,1716;3,5031414;0,116;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/08;16;259,8;29,1445;0;52,034;1,841003192;99,726;25,258;173,9992;2,4814092;0,114;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/09;9;116,3;21,645;0;63,664;1,803597263;99,966;21,804;176,4288;1,547616;0,118;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/09;16;484,1;28,645;0;47,428;1,841003192;99,84;25,386;157,4122;2,3381398;0,114;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/10;9;242,65;25,146;0;61,094;1,803597263;99,828;22,04;226,6834;2,272669;0,118;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/10;16;522,45;29,8935;0;52,54;1,841003192;99,69;25,22;190,1132;2,7734588;0,114;750;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/11;9;172,6;23,146;0;58,406;1,803597263;99,896;20,672;260,3294;2,2071746;0,118;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/11;16;95,75;20,1435;0;54,282;1,812757265;99,962;20,658;148,9668;1,326317;0,117;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/14;9;245,95;23,646;0;56,458;1,794560265;99,852;21,652;283,6464;3,0174098;0,119;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/14;16;257,6;24,396;0;50,44;1,803597263;99,926;24,014;296,9492;3,330071;0,118;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/15;9;253,4;26,646;0;55,146;1,794560265;100,136;22,4;314,7514;3,683639;0,119;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/16;9;251,2;21,1445;0;53,616;1,776844697;100,11;20,76;230,0988;2,4742662;0,121;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/17;9;222,7;22,896;0;58,144;1,776844697;100,072;20,294;250,1904;2,084125;0,121;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/18;9;254,7;28,645;0;51,278;1,768161034;99,796;23,446;238,4626;3,2780372;0,122;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/19;9;242,05;25,646;0;66,446;1,759590179;99,644;23,418;257,9984;2,4428832;0,123;950;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/21;9;265,05;30,892;0;53,824;1,759590179;99,576;25,764;236,7252;3,4795002;0,123;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/22;9;254,5;30,8915;0;59,024;1,751129767;99,388;25,858;300,6884;4,1118096;0,124;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
2020/12/23;9;200,6;24,396;0;65,418;1,718347591;99,968;23,544;262,439;2,876928;0,128;1050;2,9;5,7;70;125;4,36;0,1838;1254,509
