Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax
2020/11/24;11;81,785;18,1405;0;61,514;1,032917083;100,05;19,188;130,6152;0,9790962;0,301;150
2020/11/24;16;63,52;18,1405;0;58,69;1,039094111;100,122;17,95;28,268;0,2004094;0,298;150
2020/11/25;9;150,15;17,8905;0;49,562;1,032917083;100,7;17,952;157,5138;1,2727488;0,301;150
2020/11/25;12;173,95;18,6415;0;47,308;1,037024119;100,622;18,898;138,1118;1,463715;0,299;150
2020/11/25;16;292,95;22,3955;0;44,31;1,045371143;100,46;20,478;88,2152;1,1197734;0,295;150
2020/11/26;9;179,05;23,646;0;45,004;1,03087985;100,55;20,384;120,3196;1,4036842;0,302;150
2020/11/26;12;615,3;26,646;0;57,808;1,045371143;100,53;25,512;70,8954;1,0995768;0,295;150
2020/11/26;16;415,35;27,8955;0;57,734;1,047486168;100,264;25,428;74,1138;1,0960144;0,294;150
2020/11/30;9;250,45;26,896;0;51,416;1,022837336;100,068;20,718;303,755;3,244204;0,306;1350
2020/11/30;12;679,4;24,896;0;60,178;1,034965141;100,09;22,352;626,189;5,7648862;0,3;1350
2020/11/30;16;456,25;25,396;0;53,89;1,041175214;99,988;20,466;131,287;1,1985052;0,297;1350
2020/12/01;9;132,2;19,142;0;54,064;1,116790607;100,382;18,478;249,3888;1,9537748;0,264;1350
2020/12/01;12;231,5;20,644;0;61,088;1,159134427;100,416;21,382;530,1492;4,2226136;0,248;1350
2020/12/01;16;434,2;26,646;0;53,6;1,176156044;100,49;21,724;555,1504;5,1041322;0,242;1350
2020/12/02;9;244,55;32,888;0;45,87;1,167562111;100,566;19,934;465,3302;4,7306062;0,245;1550
2020/12/02;16;531,8;26,146;0;50,524;1,196885884;100,104;24,272;264,2832;3,4183548;0,235;1550
2020/12/03;9;249,25;22,145;0;56,52;1,170408022;100,252;20,024;550,2136;4,5498864;0,244;1550
2020/12/03;16;526,75;30,143;0;44,466;1,2029906;100,124;26,16;458,4658;5,7621864;0,233;1550
2020/12/04;9;244,9;28,6445;0;49,558;1,181980351;100,362;21,274;514,2228;5,3625694;0,24;1550
2020/12/08;9;65,65;19,893;0;59,618;1,196885884;100,078;18,566;336,4934;2,0977884;0,235;1350
2020/12/08;12;141,85;23,396;0;57,394;1,206074404;100,038;23,404;596,0926;5,1017434;0,232;1350
2020/12/09;9;116,3;21,645;0;65,684;1,199927837;99,978;21,11;395,5832;2,6598298;0,234;1350
2020/12/09;16;484,1;28,645;0;49,974;1,23481572;99,846;24,9;503,02;5,9282534;0,223;1350
2020/12/10;9;242,65;25,146;0;62,068;1,2029906;99,83;21,722;371,5126;3,2669166;0,233;1350
2020/12/10;16;522,45;29,8935;0;53,69;1,23481572;99,694;25,71;306,9252;4,3894292;0,223;1350
2020/12/11;9;172,6;23,146;0;59,082;1,199927837;99,902;20,368;363,8084;2,7948644;0,234;1550
2020/12/11;16;95,75;20,1435;0;54,15;1,206074404;99,968;20,506;118,638;1,0548636;0,232;1550
2020/12/14;9;245,95;23,646;0;58,186;1,209179485;99,868;21,022;506,0422;4,4336958;0,231;1550
2020/12/14;16;257,6;24,396;0;50,746;1,218624811;99,934;23,266;427,9094;4,0817806;0,228;1550
2020/12/15;9;253,4;26,646;0;56,05;1,209179485;100,16;22,058;493,688;5,0187902;0,231;1550
2020/12/16;9;251,2;21,1445;0;54,564;1,2029906;100,104;20,546;334,5466;3,2122586;0,233;1150
2020/12/17;9;222,7;22,896;0;59,278;1,209179485;100,08;19,808;395,218;2,7703696;0,231;1150
2020/12/18;9;254,7;28,645;0;51,852;1,228270501;99,798;23,162;340,9556;4,2957636;0,225;1150
2020/12/19;9;242,05;25,646;0;67,72;1,215454443;99,655;22,47166667;424,271167;2,936136167;0,229;1150
2020/12/21;9;265,05;30,892;0;54,728;1,24481109;99,566;24,84;420,8908;4,7710994;0,22;1750
2020/12/22;9;254,5;30,8915;0;59,588;1,248191344;99,374;24,806;475,9038;5,0658218;0,219;1750
2020/12/23;9;200,6;24,396;0;66,348;1,241455257;99,972;22,848;442,1986;3,7818582;0,221;1750
