Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;65,928;1,248191344;100,104;16,77;204,9092;0,921652;0,219;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/24;16;63,52;18,1405;0;61,194;1,329379442;100,152;17,232;149,4762;0,8986382;0,197;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/25;9;150,15;17,8905;0;52,218;1,329379442;100,732;16,638;201,5726;1,459201;0,197;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/25;12;173,95;18,6415;0;47,506;1,354081199;100,632;18,242;200,6826;1,9099386;0,191;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/25;16;292,95;22,3955;0;46,524;1,43133865;100,478;19,97;277,583;2,9720124;0,174;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/26;9;179,05;23,646;0;47,488;1,349878843;100,578;18,358;236,4504;2,049428;0,192;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/26;12;615,3;26,646;0;59,798;1,446233157;100,528;23,702;311,9332;3,7404578;0,171;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/26;16;415,35;27,8955;0;60,768;1,451290987;100,316;25,606;255,0714;3,4375726;0,17;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/30;9;250,45;26,896;0;50,3;1,258481569;100,086;19,966;299,7848;2,823197;0,216;800;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/30;12;679,4;24,896;0;59,788;1,768161034;100,11;23,726;293,227;3,5444926;0,122;800;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/11/30;16;456,25;25,396;0;60,14666667;3,289273732;100,0216667;22,71166667;183,558167;2,0683245;0,043;800;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/02;9;244,55;32,888;0;40,97833333;2,147694505;100,5783333;21,64166667;13,4175;0,205944167;0,088;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/02;12;689,7;28,645;0;47,748;2,091613047;100,402;28,166;5,9616;0,1443506;0,092;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/02;16;531,8;26,146;0;48,472;2,039291527;100,112;29,752;10,435;0,2748866;0,096;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/03;9;249,25;22,145;0;57,51;1,978582807;100,268;20,332;60,0634;0,624012;0,101;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/03;12;704,75;31,641;0;41,264;1,990336362;100,176;34,204;3,3384;0,128362;0,1;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/03;16;526,75;30,143;0;44,672;2,014415485;100,144;31,088;26,7914;0,7813694;0,098;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/04;9;244,9;28,6445;0;43,836;1,990336362;100,384;22,44;67,02;0,9923806;0,1;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/04;12;696,25;31,641;0;36,738;2,014415485;100,404;32,764;26,6014;0,8770304;0,098;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/04;16;533;33,139;0;36,266;2,014415485;100,168;34,516;18,9994;0,7646068;0,098;150;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/08;9;65,65;19,893;0;62,496;1,94440883;100,09;18,466;224,2476;1,3500198;0,104;1050;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/08;12;141,85;23,396;0;54,956;2,147694505;100,058;24,01;281,7612;2,9829208;0,088;1050;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/08;16;259,8;29,1445;0;50,81;3,006844711;99,764;26,216;234,172;3,5258934;0,05;1050;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/11;9;172,6;23,146;0;58,238;2,177286073;99,934;21,676;7,85;0,0842494;0,086;350;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/11;16;95,75;20,1435;0;56,238;2,119156736;99,976;20,9;17,4262;0,17232;0,09;350;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/14;9;245,95;23,646;0;55,628;1,990336362;99,9;20,986;143,9594;1,4208928;0,1;350;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/14;16;257,6;24,396;0;50,034;2,002278923;99,932;30,384;86,0016;2,1961556;0,099;350;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/15;9;253,4;26,646;0;50,886;1,990336362;100,2;22,98;110,3028;1,4497672;0,1;350;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/16;9;251,2;21,1445;0;54,186;1,96701344;100,122;20,296;169,8738;1,6421708;0,102;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/17;9;222,7;22,896;0;60,146;2,526116532;100,098;20,11;236,9828;1,8262358;0,067;450;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/21;9;265,05;30,892;0;52,328;2,039291527;99,624;24,806;281,7918;3,3149484;0,096;950;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/22;9;254,5;30,8915;0;57,226;1,978582807;99,406;24,57;303,6512;3,2372896;0,101;950;2,9;5,7;65;185;4,36;0,1838;1395,518
2020/12/23;9;200,6;24,396;0;62,588;1,933364763;100,012;22,268;321,6582;2,6147636;0,105;950;2,9;5,7;65;185;4,36;0,1838;1395,518
