Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax;b;c;Vmax25;Jmax25;r;XRI;LABA
2020/11/24;11;81,785;18,1405;0;56,848;1,132178078;100,062;18,7;167,1022;1,1401996;0,258;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/24;16;63,52;18,1405;0;58,574;1,179058559;100,106;18,512;189,4792;1,3136812;0,241;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/25;9;150,15;17,8905;0;49,202;1,167562111;100,7;18,714;234,8514;1,7944328;0,245;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/25;12;173,95;18,6415;0;48,596;1,148147219;100,62;18,704;202,9598;1,9609208;0,252;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/25;16;292,95;22,3955;0;46,346;1,181980351;100,438;20,608;166,925;2,0267938;0,24;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/26;9;179,05;23,646;0;44,872;1,137434749;100,528;19,932;220,0654;2,1962096;0,256;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/26;12;615,3;26,646;0;57,058;1,173272599;100,502;23,402;224,087;2,9072738;0,243;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/26;16;415,35;27,8955;0;58,436;1,173272599;100,286;23,422;164,4912;1,9762704;0,243;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/30;9;250,45;26,896;0;50,868;1,094727045;100,042;20,102;315,2206;3,1308906;0,273;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/30;12;679,4;24,896;0;58,09;1,159134427;100,078;22,524;345,6904;3,9751976;0,248;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/11/30;16;456,25;25,396;0;53,01333333;1,269002342;99,96333333;21,06833333;230,609167;1,993307333;0,213;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/01;9;132,2;19,142;0;52,474;1,329379442;100,348;18,578;255,22;1,9906754;0,197;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/01;12;231,5;20,644;0;61,578;1,366901683;100,41;23,518;331,7206;3,8133196;0,188;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/01;16;434,2;26,646;0;53,69;1,664741676;100,474;21,746;377,9364;3,7988394;0,135;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/02;9;244,55;32,888;0;45,994;1,24481109;100,534;20,032;328,49;3,5444978;0,22;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/02;12;689,7;28,645;0;49,192;1,251596311;100,434;24,638;390,2144;5,6068522;0,218;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/02;16;531,8;26,146;0;49,482;1,24481109;100,094;24,444;255,5068;3,5338582;0,22;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/03;9;249,25;22,145;0;52,396;1,206074404;100,238;19,924;311,4004;2,859168;0,232;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/03;12;704,75;31,641;0;44,032;1,231531457;100,162;27,27;281,6756;5,10208;0,224;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/03;16;526,75;30,143;0;43,156;1,209179485;100,128;27,198;329,5016;5,0615598;0,231;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/04;9;244,9;28,6445;0;47,542;1,19086349;100,356;21,17;374,6276;4,2670986;0,237;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/08;9;65,65;19,893;0;56,034;1,159134427;100,048;19,01;304,5596;2,2343484;0,248;550;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/08;12;141,85;23,396;0;57,114;1,179058559;100,02;24;262,5036;2,8249084;0,241;550;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/08;16;259,8;29,1445;0;54,826;1,24481109;99,704;24,754;349,0842;4,3937002;0,22;550;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/09;9;116,3;21,645;0;61,396;1,279762188;99,984;21,132;284,4798;2,2920014;0,21;550;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/10;9;242,65;25,146;0;58,898;3,486104511;99,82;22,052;350,5452;3,5635678;0,039;550;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/11;9;172,6;23,146;0;55,706;1,38005274;99,908;21,266;68,6714;0,7106148;0,185;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/11;16;95,75;20,1435;0;50,99;1,329379442;99,928;21,874;18,2378;0,2151446;0,197;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/14;9;245,95;23,646;0;54,39;1,248191344;99,86;21,454;201,5586;2,2129886;0,219;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/14;16;257,6;24,396;0;48,452;1,251596311;99,918;25,072;137,8886;1,9150864;0,218;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/15;9;253,4;26,646;0;53,826;1,241455257;100,138;22,138;271,0604;3,2743322;0,221;150;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/16;9;251,2;21,1445;0;51,352;1,228270501;100,08;19,972;284,0414;2,7891358;0,225;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/17;9;222,7;22,896;0;55,178;1,650232691;100,072;20,162;340,8322;2,8517146;0,137;350;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/21;9;265,05;30,892;0;51,20714286;1,358318801;99,56285714;27,02428571;30,031143;0,559179;0,19;50;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/22;9;254,5;30,8915;0;55,684;1,321410453;99,364;26,596;75,1428;1,2793666;0,199;50;2,6;3,3;85;240;4,36;0,1838;576,793
2020/12/23;9;200,6;24,396;0;61,272;1,2982511;99,974;22,292;94,2318;1,0138954;0,205;50;2,6;3,3;85;240;4,36;0,1838;576,793
