Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax
2020/11/24;11;81,785;18,1405;0;58,834;1,2029906;100,064;18,842;49,0146;0,3622894;0,233;50
2020/11/24;16;63,52;18,1405;0;58,388;1,228270501;100,112;18,212;21,626;0,1547418;0,225;50
2020/11/25;9;150,15;17,8905;0;47,49;1,215454443;100,698;18,444;64,6668;0,5698148;0,229;50
2020/11/25;12;173,95;18,6415;0;46,41;1,225032583;100,622;19,048;68,5564;0,7712128;0,226;50
2020/11/25;16;292,95;22,3955;0;44,686;1,255026286;100,444;21,04;58,5176;0,7948504;0,217;50
2020/11/26;9;179,05;23,646;0;43,84;1,329379442;100,532;20,594;50,3034;0,6147146;0,197;50
2020/11/26;12;615,3;26,646;0;56,32166667;1,358318801;100,5166667;24,88833333;30,815167;0,541751167;0,19;50
2020/11/26;16;415,35;27,8955;0;57,838;1,375631471;100,292;24,018;46,0876;0,6329052;0,186;50
2020/11/30;9;250,45;26,896;0;50,006;1,341577978;100,066;21,356;153,1486;1,922797;0,194;150
2020/11/30;12;679,4;24,896;0;57,38;1,384512299;100,092;23,168;219,7944;2,7974486;0,184;150
2020/11/30;16;456,25;25,396;0;52,84;1,43133865;99,968;20,2;111,9428;0,9380916;0,174;150
2020/12/01;9;132,2;19,142;0;53,006;1,629091593;100,37;18,654;124,3574;1,0324652;0,14;150
2020/12/01;12;231,5;20,644;0;59,51;1,718347591;100,406;21,518;339,5942;3,0454654;0,128;150
2020/12/01;16;434,2;26,646;0;52,23;1,742777503;100,484;21,954;274,9756;3,0221514;0,125;150
2020/12/02;9;244,55;32,888;0;44,508;1,615394694;100,552;20,89;278,1566;3,4700636;0,142;350
2020/12/02;12;689,7;28,645;0;47,262;1,63605771;100,406;24,394;193,6714;3,0562578;0,139;350
2020/12/02;16;531,8;26,146;0;48,27;1,650232691;100,09;24,002;122,3818;1,7827632;0,137;350
2020/12/03;9;249,25;22,145;0;55,258;1,595416553;100,248;20,244;324,4514;2,957939;0,145;350
2020/12/03;12;704,75;31,641;0;43,436;1,629091593;100,17;28,386;232,4762;5,0053474;0,14;350
2020/12/03;16;526,75;30,143;0;43,294;1,63605771;100,128;26,806;210,4994;3,3938336;0,139;350
2020/12/04;9;244,9;28,6445;0;48,662;1,595416553;100,366;22,012;340,6324;4,2084812;0,145;350
2020/12/04;16;533;33,139;0;42,91;1,608661059;100,146;27,578;253,18;4,9627938;0,143;350
2020/12/08;9;65,65;19,893;0;58,204;1,563544514;100,068;18,742;275,3528;1,8320954;0,15;750
2020/12/08;12;141,85;23,396;0;57,255;1,595416553;100,0366667;23,68666667;383,040167;3,764299833;0,145;750
2020/12/08;16;259,8;29,1445;0;54,306;1,679597662;99,728;24,494;416,9626;4,90611;0,133;750
2020/12/09;9;116,3;21,645;0;63,978;1,710406223;99,972;21,23;333,5278;2,4754516;0,129;750
2020/12/09;16;484,1;28,645;0;49,044;2,052041956;99,84;24,28;493,0774;5,398067;0,095;750
2020/12/10;9;242,65;25,146;0;61,532;2,482273542;99,816;21,352;408,0258;3,428661;0,069;750
2020/12/10;16;522,45;29,8935;0;55;2,904343533;99,678;24,908;335,2662;4,3481268;0,053;750
2020/12/11;9;172,6;23,146;0;58,27833333;1,608661059;99,89;20,225;309,782167;2,397788;0,143;350
2020/12/11;16;95,75;20,1435;0;54,404;1,63605771;99,958;20,43;239,9736;1,8964738;0,139;350
2020/12/14;9;245,95;23,646;0;57,816;1,588903037;99,862;21,272;409,5136;3,8831402;0,146;350
2020/12/14;16;257,6;24,396;0;50,658;1,602002125;99,93;23,968;364,157;3,7924148;0,144;350
2020/12/15;9;253,4;26,646;0;56,788;1,582460303;100,156;21,808;479,1164;4,7815072;0,147;350
2020/12/16;9;251,2;21,1445;0;54,3;1,563544514;100,094;20,178;381,8436;3,5227564;0,15;550
2020/12/17;9;222,7;22,896;0;58,298;2,440412131;100,068;19,84;379,5648;2,7528548;0,071;550
2020/12/21;9;265,05;30,892;0;51,602;1,860501544;99,576;27,128;29,1518;0,5611626;0,112;50
2020/12/22;9;254,5;30,8915;0;56,798;1,803597263;99,386;26,084;88,8292;1,4250852;0,118;50
2020/12/23;9;200,6;24,396;0;64,108;1,785643604;99,952;23,43;118,809;1,3577726;0,12;50
